Lat,Lon,Population
-26.1001389,27.900138899999998,7.81169
-26.1001389,27.900694399999995,7.81169
-26.1001389,27.901805600000003,8.77174
-26.1001389,27.902083299999997,8.77174
-26.1001389,27.902361100000004,8.77174
-26.1001389,27.903194399999997,8.77174
-26.1001389,27.9034722,8.77174
-26.1001389,27.904861100000005,5.95416
-26.1001389,27.9059722,5.95416
-26.1001389,27.90625,5.95416
-26.1001389,27.9070833,5.95416
-26.1001389,27.907638899999995,5.95416
-26.1001389,27.908472200000002,5.95416
-26.1001389,27.90875,5.95416
-26.1001389,27.909305600000003,5.95416
-26.1001389,27.909861100000004,5.95416
-26.1001389,27.910416700000003,5.95416
-26.1001389,27.9109722,8.21523
-26.1001389,27.9184722,5.76136
-26.1001389,27.91875,5.76136
-26.1001389,27.9190278,5.76136
-26.1001389,27.919305600000005,5.76136
-26.1001389,27.9195833,5.76136
-26.1001389,27.919861100000002,5.76136
-26.1001389,27.920138899999998,5.76136
-26.1001389,27.92125,5.76136
-26.1001389,27.9215278,5.76136
-26.1001389,27.921805600000003,7.15675
-26.1001389,27.922083299999997,7.15675
-26.1001389,27.922361100000003,7.15675
-26.1001389,27.922638899999995,7.15675
-26.1001389,27.922916700000002,7.15675
-26.1001389,27.923194399999996,15.37319
-26.1001389,27.92375,15.37319
-26.1001389,27.924027799999998,15.37319
-26.1001389,27.9245833,6.43674
-26.1001389,27.924861100000005,6.43674
-26.1001389,27.925694399999998,6.43674
-26.1001389,27.926805600000005,5.7828599999999994
-26.1001389,27.927638899999998,5.7828599999999994
-26.1001389,27.9279167,5.7828599999999994
-26.1001389,27.928194399999995,5.7828599999999994
-26.1001389,27.9290278,5.7828599999999994
-26.1001389,27.929305600000003,5.24794
-26.1001389,27.929861100000004,5.24794
-26.1001389,27.930416700000002,4.57679
-26.1001389,27.930694399999997,4.57679
-26.1001389,27.93125,4.57679
-26.1001389,27.931805600000004,4.57679
-26.1001389,27.932638899999997,4.57679
-26.1001389,27.93375,9.63756
-26.1001389,27.934305600000005,9.63756
-26.1001389,27.937083299999998,9.0112
-26.1001389,27.937361100000004,9.0112
-26.1001389,27.937638899999996,5.5986400000000005
-26.1001389,27.9384722,5.5986400000000005
-26.1001389,27.93875,5.5986400000000005
-26.1001389,27.939027799999998,5.5986400000000005
-26.1001389,27.9395833,5.5986400000000005
-26.1001389,27.9398611,11.15132
-26.1001389,27.941805600000006,3.2785
-26.1001389,27.9420833,3.2785
-26.1001389,27.9429167,3.2785
